Статьи,PL группа 1,Статьи затрат PL в 1 C,%,Факт,%_сравнеие,Период,Monthnumber
Аренда офиса,Аренда офиса,Коммунальные платежи (офисы),,1199440.23,-1314%,2023,4
Аренда офиса,Аренда офиса,Коммунальные платежи (офисы),,770120.6000000001,-2103%,2023,5
Аренда офиса,Аренда офиса,Коммунальные платежи (офисы),,997405.11,-1601%,2023,6
Аренда офиса,Аренда офиса,Коммунальные платежи (офисы),,180975.63,-9274%,2023,7
ФОТ ТП,ФОТ ТП,Заработная плата,,167459101.73000002,-897%,2023,1
ФОТ ТП,ФОТ ТП,Заработная плата,,213801940.19,-681%,2023,2
ФОТ ТП,ФОТ ТП,Заработная плата,,168660306.29000002,-890%,2023,3
ФОТ ТП,ФОТ ТП,Заработная плата,,176732686.76,-845%,2023,4
ФОТ ТП,ФОТ ТП,Заработная плата,,175488635.48,-852%,2023,5
ФОТ ТП,ФОТ ТП,Заработная плата,,179470226.77,-830%,2023,6
ФОТ ТП,ФОТ ТП,Заработная плата,,166775051.60000005,-901%,2023,7
ФОТ ТП,ФОТ ТП,Заработная плата (бонусы),,252524,-82345%,2023,1
ФОТ ТП,ФОТ ТП,Заработная плата (бонусы),,334594,-62123%,2023,2
ФОТ ТП,ФОТ ТП,Заработная плата (бонусы),,126262,-164790%,2023,3
ФОТ ТП,ФОТ ТП,Заработная плата (бонусы),,126262,-164790%,2023,4
Расходы по Логистике,Расходы по Логистике,"Анализ, определение действующего вещества, испытания",,329783.49,-3870%,2023,2
Расходы по Логистике,Расходы по Логистике,"Анализ, определение действующего вещества, испытания",,459174.5399999999,-2751%,2023,3
Расходы по Логистике,Расходы по Логистике,"Анализ, определение действующего вещества, испытания",,2273773.1400000006,-476%,2023,4
Расходы по Логистике,Расходы по Логистике,"Анализ, определение действующего вещества, испытания",,11244365.750000002,-16%,2023,5
Расходы по Логистике,Расходы по Логистике,"Анализ, определение действующего вещества, испытания",,13739661.540000001,5%,2023,6
Расходы по Логистике,Расходы по Логистике,"Анализ, определение действующего вещества, испытания",,581817.26,-2150%,2023,7
Расходы по Логистике,Расходы по Логистике,Прочие расходы по логистике,,421344.54,-2477%,2023,1
Расходы по Логистике,Расходы по Логистике,Прочие расходы по логистике,,23000,-47100%,2023,2
Расходы по Логистике,Расходы по Логистике,Прочие расходы по логистике,,921863.98,-1078%,2023,3
Расходы по Логистике,Расходы по Логистике,Прочие расходы по логистике,,270000,-3921%,2023,4
Расходы по Логистике,Расходы по Логистике,Прочие расходы по логистике,,499000,-2076%,2023,5
Расходы по Логистике,Расходы по Логистике,Прочие расходы по логистике,,5000,-217019%,2023,6
Расходы по Логистике,Расходы по Логистике,Прочие расходы по логистике,,152089.29,-7038%,2023,7
Расходы по Логистике,Расходы по Логистике,"Прочие складские расходы (спецодежда, расходные материалы)",,504642.86,-250%,2023,1
Расходы по Логистике,Расходы по Логистике,"Прочие складские расходы (спецодежда, расходные материалы)",,81254.47,-2071%,2023,2
Расходы по Логистике,Расходы по Логистике,"Прочие складские расходы (спецодежда, расходные материалы)",,1896205.36,7%,2023,3
Расходы по Логистике,Расходы по Логистике,"Прочие складские расходы (спецодежда, расходные материалы)",,408466.07999999996,-332%,2023,4
Расходы по Логистике,Расходы по Логистике,"Прочие складские расходы (спецодежда, расходные материалы)",,49114.28,-3491%,2023,5
Расходы по Логистике,Расходы по Логистике,"Прочие складские расходы (спецодежда, расходные материалы)",,643610.7300000001,-174%,2023,6
Расходы по Логистике,Расходы по Логистике,"Прочие складские расходы (спецодежда, расходные материалы)",,66260,-2562%,2023,7
Расходы по Логистике,Расходы по Логистике,"Расходы по оформлению документов (экспорт, импорт)",,116478.57,-293%,2023,1
Расходы по Логистике,Расходы по Логистике,"Расходы по оформлению документов (экспорт, импорт)",,442867.85,-3%,2023,3
Расходы по Логистике,Расходы по Логистике,"Расходы по оформлению документов (экспорт, импорт)",,339585.71,-35%,2023,5
Расходы по Логистике,Расходы по Логистике,"Расходы по оформлению документов (экспорт, импорт)",,636074.1,28%,2023,6
Расходы по Логистике,Расходы по Логистике,"Расходы по оформлению документов (экспорт, импорт)",,32278.57,-1320%,2023,7
Расходы по Логистике,Расходы по Логистике,Ремонт и обслуживание помещений (склады),,6203985.43,-79%,2023,1
Расходы по Логистике,Расходы по Логистике,Ремонт и обслуживание помещений (склады),,3743274.3600000003,-197%,2023,2
Расходы по Логистике,Расходы по Логистике,Ремонт и обслуживание помещений (склады),,722620.52,-1438%,2023,3
Расходы по Логистике,Расходы по Логистике,Ремонт и обслуживание помещений (склады),,277673.79,-3903%,2023,4
Расходы по Логистике,Расходы по Логистике,Ремонт и обслуживание помещений (склады),,312660.72,-3455%,2023,5
Расходы по Логистике,Расходы по Логистике,Ремонт и обслуживание помещений (склады),,361109.65,-2978%,2023,6
Расходы по Логистике,Расходы по Логистике,Ремонт и обслуживание помещений (склады),,287292.86,-3769%,2023,7
Расходы по Логистике,Расходы по Логистике,Сертификация,,815892.86,-1839%,2023,1
Расходы по Логистике,Расходы по Логистике,Сертификация,,5733312.859999999,-176%,2023,2
Расходы по Логистике,Расходы по Логистике,Сертификация,,60089.29,-26224%,2023,3
Расходы по Логистике,Расходы по Логистике,Сертификация,,803035.75,-1870%,2023,4
Расходы по Логистике,Расходы по Логистике,Сертификация,,498939.28,-3070%,2023,5
Расходы по Логистике,Расходы по Логистике,Сертификация,,570907.16,-2671%,2023,6
Расходы по Логистике,Расходы по Логистике,Сертификация,,670982.1299999999,-2257%,2023,7
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка от поставщика),,840000,-161%,2023,2
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка от поставщика),,1185000,-85%,2023,3
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка от поставщика),,1155000,-89%,2023,4
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка от поставщика),,500000,-338%,2023,5
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка от поставщика),,644000,-240%,2023,6
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка от поставщика),,16000,-13576%,2023,7
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка покупателю),,137201228,64%,2023,1
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка покупателю),,20279519.2,-142%,2023,2
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка покупателю),,28360862.21,-73%,2023,3
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка покупателю),,288295128.3,83%,2023,4
