Статьи,PL группа 1,Статьи затрат PL в 1 C,%,Факт,%_сравнеие,Период,Monthnumber
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,559304985.8900001,-6413%,2023,2
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,2920254584.2799993,-1147%,2023,3
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,12310374338.050003,-196%,2023,4
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,13011292660.390007,-180%,2023,5
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,9620176609.089964,-279%,2023,6
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,2941985838.4600005,-1138%,2023,7
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,248559540.47000003,-14555%,2023,8
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,16538309.40000001,-132235%,2022,1
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,137346895.02000004,-15835%,2022,2
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,1320707572.16,-1557%,2022,3
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,9337813941.310017,-134%,2022,4
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,12245306282.640007,-79%,2022,5
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,7047429209.760005,-211%,2022,6
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,3153121979.5299973,-594%,2022,7
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,1031515412.5099998,-2022%,2022,8
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,626860017.1300002,-3391%,2022,9
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,255318335.22000015,-8472%,2022,10
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,475363590.1800001,-4504%,2022,11
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,779879423.1000009,-2706%,2022,12
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,56986358.37,-24757%,2021,1
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,131268898.80000009,-10691%,2021,2
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,1111738652.5600007,-1174%,2021,3
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,6034484985.65,-135%,2021,4
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,7621192822.120009,-86%,2021,5
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,3706312999.600007,-282%,2021,6
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,1058954377.6700009,-1238%,2021,7
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,1442651516.4100015,-882%,2021,8
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,248463424.3099999,-5601%,2021,9
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,173768288.66000006,-8052%,2021,10
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,240032415.6399998,-5801%,2021,11
Себестоимость реализованной продукции,Себестоимость реализованной продукции,Себестоимость реализованной продукции и оказанных услуг,,60172894.160000004,-23441%,2021,12
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-2.1827872842550278e-11,100%,2023,1
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,2.9103830456733704e-11,100%,2023,2
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-1.7462298274040222e-10,100%,2023,3
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-7.712515071034431e-10,100%,2023,4
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-2.1827872842550278e-11,100%,2023,5
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-2.1827872842550278e-11,100%,2023,6
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,174107.18,100%,2023,7
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,7.275957614183426e-12,-1300761563199700000%,2022,1
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,7.275957614183426e-12,-1300761563199700000%,2022,2
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,1.4551915228366852e-10,-65038078159984930%,2022,3
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-1.3096723705530167e-10,72264531288872350%,2022,4
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,2.9831426218152046e-10,-31725891785358450%,2022,5
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,1.4551915228366852e-11,-650380781599850100%,2022,6
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-2.9103830456733704e-11,325190390799925200%,2022,7
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-1.4551915228366852e-11,650380781599850200%,2022,10
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,5.820766091346741e-11,-162595195399962500%,2022,11
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-7.275957614183426e-11,130076156319970100%,2022,12
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,21428.569999999978,-2299%,2021,2
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,110714.29000000004,-364%,2021,3
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-110714.28999999978,564%,2021,4
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,25892.86000000022,-1885%,2021,5
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,47321.43,-986%,2021,6
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,7.275957614183426e-12,-7064420894893932000%,2021,7
