Статьи затрат для PL,Статьи затрат PL в 1 C,guid,kod,PL группа 1
Налог на имущество,Налог на имущество,0xAF78D4F5EF10792511EB8CC5D4359D62,00-000149,Прочие Операционные расходы
Налог на транспорт,Налог на транспорт,0xAF78D4F5EF10792511EB9441FFA15A11,00-000150,Прочие Операционные расходы
Наружная реклама,"Классическая реклама (баннеры, СМИ, ТВ и тд)",0xA23F00155D01C80911E9F16120A72C5D,00-000096,Прямые маркетинговые расходы
НДС Налогового агента,НДС Налогового агента,0x80DE000C29E67B2E11E628A464E5C16A,УТ-000009,Прочие Операционные расходы
НДС не разрешенный к зачету,НДС не разрешенный к зачету,0x80C500155D01C90111E771E13643B0DB,00-000034,Прочие Операционные расходы
Невычитаемые корпоративные мероприятия,Корпоративные мероприятия,0xA23F00155D01C80911E9F1646869775E,00-000106,Прочие Административные расходы
Невычитаемые корпоративные мероприятия,Лечебно-оздоровительные мероприятия,0xA23F00155D01C80911E9F164C5BEB423,00-000107,Прочие Административные расходы
Невычитаемые расходы,"Безвозмездная финансовая помощь, благотворительная помощь",0xA23F00155D01C80911E9EE704D7485E1,00-000071,Прочие Административные расходы
Обучение сотрудников,Обучение сотрудников,0xA23F00155D01C80911E9F16532A56A73,00-000109,Прочие Административные расходы
Обучение сотрудников,"Расходы на обучение, тренинги, консалтинговые услуги,повышение квалификации, консультация",0x80C500155D01C90111E7630436C49A95,00-000032,Прочие Операционные расходы
Обучение сотрудников,Страхование ГПО сотрудников,0xAF78D4F5EF10792511EB9444D9B55A70,00-000151,Прочие Операционные расходы
Охрана,Услуги охраны,0xA2297085C2A4312A11EA3CD3A2B8808A,00-000132,Прочие Административные расходы
Переоценка,"Доходы от превышения стоимости выбывших ФА, над стоимостным балансом группы",0xBA3E00155D01C90111E7373021C8131A,УТ-000008,Доход/Расход от переоценки статей баланса
Пересорт,Пересорт,0x80C500155D01C90111E7AA6BC71C230E,00-000039,Доход/Расход от переоценки статей баланса
Пересорт,Пересорт,0x80DF000C29E67B2E11E670EEBD44C278,УТ-000002,Доход/Расход от переоценки статей баланса
Пересорт,Пересорт,0x80DF000C29E67B2E11E679937D7FCA00,УТ-000009,Доход/Расход от переоценки статей баланса
Поиск и найм сотрудников,Поиск и найм сотрудников,0xA23F00155D01C80911E9F16574767003,00-000110,Прямие маркетинговые расходы
"Полиграфические расходы, перевод, оформление док-в","Полиграфические расходы, перевод, оформление док-в",0x801E00155D01C90111E6E71232796B70,00-000011,Прочие Административные расходы
После сезонная скидка от поставщика,После сезонная скидка от поставщика,0xA21B7085C2A4312A11E9BDBD30F5E8FF,00-000005,Кредит нота за товар
